algo,serie,taille,temps
counting,testset1,1000,0.0109
counting,testset1,1000,0.0109
counting,testset1,1000,0.0115
counting,testset1,1000,0.0114
counting,testset1,1000,0.0115
counting,testset1,1000,0.0125
counting,testset1,1000,0.0115
counting,testset1,1000,0.011
counting,testset1,1000,0.0114
counting,testset1,1000,0.0112
counting,testset1,10000,0.1305
counting,testset1,10000,0.1297
counting,testset1,10000,0.1347
counting,testset1,10000,0.1301
counting,testset1,10000,0.129
counting,testset1,10000,0.131
counting,testset1,10000,0.1291
counting,testset1,10000,0.1297
counting,testset1,10000,0.1298
counting,testset1,10000,0.1283
counting,testset1,100000,1.4724
counting,testset1,100000,1.3809
counting,testset1,100000,1.4782
counting,testset1,100000,1.3247
counting,testset1,100000,1.3543
counting,testset1,100000,1.3905
counting,testset1,100000,1.3922
counting,testset1,100000,1.3539
counting,testset1,100000,1.4404
counting,testset1,100000,1.4354
counting,testset1,5000,0.0704
counting,testset1,5000,0.071
counting,testset1,5000,0.0704
counting,testset1,5000,0.0713
counting,testset1,5000,0.0712
counting,testset1,5000,0.0706
counting,testset1,5000,0.0709
counting,testset1,5000,0.0681
counting,testset1,5000,0.0699
counting,testset1,5000,0.069
counting,testset1,50000,0.5192
counting,testset1,50000,0.5302
counting,testset1,50000,0.5193
counting,testset1,50000,0.5281
counting,testset1,50000,0.5352
counting,testset1,50000,0.5282
counting,testset1,50000,0.5263
counting,testset1,50000,0.5248
counting,testset1,50000,0.5399
counting,testset1,50000,0.5197
counting,testset1,500000,8.6323
counting,testset1,500000,8.4206
counting,testset1,500000,8.6587
counting,testset1,500000,8.6948
counting,testset1,500000,13.0613
counting,testset1,500000,12.274
counting,testset1,500000,25.3239
counting,testset1,500000,14.7199
counting,testset1,500000,8.8367
counting,testset1,500000,9.0799
counting,testset2,1000,164.005
counting,testset2,1000,175.417
counting,testset2,1000,162.805
counting,testset2,1000,159.672
counting,testset2,1000,163.457
counting,testset2,1000,161.135
counting,testset2,1000,157.712
counting,testset2,1000,176.698
counting,testset2,1000,166.464
counting,testset2,1000,181.676
counting,testset2,10000,1695.71
counting,testset2,10000,1669.84
counting,testset2,10000,1687.71
counting,testset2,10000,1612.19
counting,testset2,10000,1673.57
counting,testset2,10000,1599.55
counting,testset2,10000,1673.89
counting,testset2,10000,1634.91
counting,testset2,10000,1616.86
counting,testset2,10000,1616.79
counting,testset2,100000,0
counting,testset2,100000,0
counting,testset2,100000,0
counting,testset2,100000,0
counting,testset2,100000,0
counting,testset2,100000,0
counting,testset2,100000,0
counting,testset2,100000,0
counting,testset2,100000,0
counting,testset2,100000,0
counting,testset2,5000,799.172
counting,testset2,5000,798.352
counting,testset2,5000,817.857
counting,testset2,5000,824.834
counting,testset2,5000,817.141
counting,testset2,5000,823.873
counting,testset2,5000,810.067
counting,testset2,5000,811.798
counting,testset2,5000,814.221
counting,testset2,5000,805.547
counting,testset2,50000,0
counting,testset2,50000,0
counting,testset2,50000,0
counting,testset2,50000,0
counting,testset2,50000,0
counting,testset2,50000,0
counting,testset2,50000,0
counting,testset2,50000,0
counting,testset2,50000,0
counting,testset2,50000,0
counting,testset2,500000,0
counting,testset2,500000,0
counting,testset2,500000,0
counting,testset2,500000,0
counting,testset2,500000,0
counting,testset2,500000,0
counting,testset2,500000,0
counting,testset2,500000,0
counting,testset2,500000,0
counting,testset2,500000,0
counting,testset3,1000,0.0173
counting,testset3,1000,0.0172
counting,testset3,1000,0.0174
counting,testset3,1000,0.0168
counting,testset3,1000,0.0176
counting,testset3,1000,0.0258
counting,testset3,1000,0.0169
counting,testset3,1000,0.0179
counting,testset3,1000,0.0164
counting,testset3,1000,0.0169
counting,testset3,10000,0.16
counting,testset3,10000,0.1539
counting,testset3,10000,0.1577
counting,testset3,10000,0.1455
counting,testset3,10000,0.1476
counting,testset3,10000,0.1442
counting,testset3,10000,0.1437
counting,testset3,10000,0.148
counting,testset3,10000,0.1591
counting,testset3,10000,0.1728
counting,testset3,100000,1.8799
counting,testset3,100000,1.9615
counting,testset3,100000,1.9051
counting,testset3,100000,1.8725
counting,testset3,100000,1.8726
counting,testset3,100000,1.8837
counting,testset3,100000,1.8499
counting,testset3,100000,1.7264
counting,testset3,100000,2.1076
counting,testset3,100000,2.0259
counting,testset3,5000,0.0757
counting,testset3,5000,0.0769
counting,testset3,5000,0.0754
counting,testset3,5000,0.0766
counting,testset3,5000,0.0759
counting,testset3,5000,0.0748
counting,testset3,5000,0.1495
counting,testset3,5000,0.0755
counting,testset3,5000,0.0779
counting,testset3,5000,0.1045
counting,testset3,50000,0.6353
