algo,serie,taille,temps
quickRandomSeuil,testset1,1000,0.0413
quickRandomSeuil,testset1,1000,0.0858
quickRandomSeuil,testset1,1000,0.0416
quickRandomSeuil,testset1,1000,0.0467
quickRandomSeuil,testset1,1000,0.0448
quickRandomSeuil,testset1,1000,0.0436
quickRandomSeuil,testset1,1000,0.0454
quickRandomSeuil,testset1,1000,0.0426
quickRandomSeuil,testset1,1000,0.0415
quickRandomSeuil,testset1,1000,0.0416
quickRandomSeuil,testset1,1000,0.0473
quickRandomSeuil,testset1,1000,0.0421
quickRandomSeuil,testset1,1000,0.0421
quickRandomSeuil,testset1,1000,0.0442
quickRandomSeuil,testset1,1000,0.0436
quickRandomSeuil,testset1,1000,0.0433
quickRandomSeuil,testset1,1000,0.0448
quickRandomSeuil,testset1,1000,0.0448
quickRandomSeuil,testset1,1000,0.0415
quickRandomSeuil,testset1,1000,0.0422
quickRandomSeuil,testset1,1000,0.0417
quickRandomSeuil,testset1,1000,0.0414
quickRandomSeuil,testset1,1000,0.0411
quickRandomSeuil,testset1,1000,0.0521
quickRandomSeuil,testset1,1000,0.0508
quickRandomSeuil,testset1,1000,0.0411
quickRandomSeuil,testset1,1000,0.0423
quickRandomSeuil,testset1,1000,0.0403
quickRandomSeuil,testset1,1000,0.0421
quickRandomSeuil,testset1,1000,0.0436
quickRandomSeuil,testset1,1000,0.041
quickRandomSeuil,testset1,1000,0.0425
quickRandomSeuil,testset1,1000,0.0411
quickRandomSeuil,testset1,1000,0.0408
quickRandomSeuil,testset1,1000,0.0406
quickRandomSeuil,testset1,1000,0.0406
quickRandomSeuil,testset1,1000,0.0492
quickRandomSeuil,testset1,1000,0.0431
quickRandomSeuil,testset1,1000,0.0507
quickRandomSeuil,testset1,1000,0.0429
quickRandomSeuil,testset1,1000,0.0423
quickRandomSeuil,testset1,1000,0.0415
quickRandomSeuil,testset1,1000,0.0424
quickRandomSeuil,testset1,1000,0.0419
quickRandomSeuil,testset1,1000,0.042
quickRandomSeuil,testset1,1000,0.0422
quickRandomSeuil,testset1,1000,0.0413
quickRandomSeuil,testset1,1000,0.0413
quickRandomSeuil,testset1,1000,0.043
quickRandomSeuil,testset1,1000,0.0431
quickRandomSeuil,testset1,1000,0.0423
quickRandomSeuil,testset1,1000,0.0429
quickRandomSeuil,testset1,1000,0.0531
quickRandomSeuil,testset1,1000,0.0437
quickRandomSeuil,testset1,1000,0.0412
quickRandomSeuil,testset1,1000,0.0422
quickRandomSeuil,testset1,1000,0.0417
quickRandomSeuil,testset1,1000,0.084
