algo,taille,capacite,temps,revenu
glouton,100,10,0.0253,13
glouton,100,10,0.0285,17
glouton,100,10,0.0311,18
glouton,100,10,0.0302,27
glouton,100,10,0.0434,39
glouton,100,10,0.0692,74
glouton,100,10,0.0517,43
glouton,100,10,0.053,50
glouton,100,10,0.0561,60
glouton,100,10,0.0802,63
glouton,100,100,0.0267,129
glouton,100,100,0.0255,121
glouton,100,100,0.042,174
glouton,100,100,0.0442,212
glouton,100,100,0.0426,302
glouton,100,100,0.046,361
glouton,100,100,0.0619,418
glouton,100,100,0.0545,481
glouton,100,100,0.0647,506
glouton,100,100,0.0661,568
glouton,100,1000,0.0328,1361
glouton,100,1000,0.0272,1236
glouton,100,1000,0.0373,1882
glouton,100,1000,0.0361,2484
glouton,100,1000,0.0398,2788
glouton,100,1000,0.0466,3480
glouton,100,1000,0.0476,3530
glouton,100,1000,0.0667,3973
glouton,100,1000,0.0584,5161
glouton,100,1000,0.0558,5655
glouton,1000,10,0.3959,60
glouton,1000,10,0.8107,118
glouton,1000,10,1.1561,174
glouton,1000,10,1.3603,236
glouton,1000,10,1.7414,291
glouton,1000,10,2.1375,355
glouton,1000,10,2.3547,396
glouton,1000,10,2.8228,469
glouton,1000,10,3.0112,522
glouton,1000,10,3.4628,588
glouton,1000,100,0.4728,571
glouton,1000,100,0.7977,1095
glouton,1000,100,1.107,1576
glouton,1000,100,1.4243,2171
glouton,1000,100,1.8076,2717
glouton,1000,100,1.9925,3225
glouton,1000,100,2.4355,3627
glouton,1000,100,2.7517,4329
glouton,1000,100,3.0136,4812
glouton,1000,100,3.3185,5390
glouton,1000,1000,0.6152,5811
glouton,1000,1000,0.8012,10698
glouton,1000,1000,1.3115,16052
glouton,1000,1000,1.6469,21698
glouton,1000,1000,1.7867,26969
glouton,1000,1000,2.2532,31731
glouton,1000,1000,2.5093,35860
glouton,1000,1000,2.9048,39885
glouton,1000,1000,3.0432,47287
glouton,1000,1000,3.2883,51810
glouton,10000,10,33.0203,575
glouton,10000,10,64.3783,1155
glouton,10000,10,101.471,1720
glouton,10000,10,127.38,2296
glouton,10000,10,163.658,2862
glouton,10000,10,191.961,3471
glouton,10000,10,224.79,4022
glouton,10000,10,257.794,4599
glouton,10000,10,294.425,5127
glouton,10000,10,330.316,5667
glouton,10000,100,38.8021,5287
glouton,10000,100,69.9513,10350
glouton,10000,100,101.858,15669
glouton,10000,100,135.202,21035
glouton,10000,100,157.392,26079
glouton,10000,100,183.177,31496
glouton,10000,100,228.991,36394
glouton,10000,100,261.799,41505
glouton,10000,100,297.2,47399
glouton,10000,100,321.585,52675
glouton,10000,1000,37.5388,53077
glouton,10000,1000,70.7949,104924
glouton,10000,1000,102.996,154737
glouton,10000,1000,139.387,209614
glouton,10000,1000,166.852,258416
glouton,10000,1000,199.409,312667
glouton,10000,1000,237.089,361298
glouton,10000,1000,260.581,411414
glouton,10000,1000,276.031,468898
glouton,10000,1000,322.392,518114
progdyn,100,10,0.0197,17
progdyn,100,10,0.0198,18
progdyn,100,10,0.0238,24
progdyn,100,10,0.0297,31
progdyn,100,10,0.0376,46
progdyn,100,10,0.0539,84
progdyn,100,10,0.0357,53
progdyn,100,10,0.0373,59
progdyn,100,10,0.047,71
progdyn,100,10,0.0464,71
progdyn,100,100,0.0616,147
progdyn,100,100,0.0649,145
progdyn,100,100,0.096,212
progdyn,100,100,0.092,270
progdyn,100,100,0.1422,333
progdyn,100,100,0.1525,412
progdyn,100,100,0.2011,485
progdyn,100,100,0.2243,543
progdyn,100,100,0.3047,574
progdyn,100,100,0.2355,659
progdyn,100,1000,0.4419,1552
progdyn,100,1000,0.4439,1509
progdyn,100,1000,0.6124,2214
progdyn,100,1000,0.7497,2944
progdyn,100,1000,0.7755,3257
progdyn,100,1000,1.2182,4094
progdyn,100,1000,1.2599,4178
progdyn,100,1000,1.488,4679
progdyn,100,1000,2.582,6036
progdyn,100,1000,2.536,6294
progdyn,1000,10,0.3692,93
progdyn,1000,10,0.8392,179
progdyn,1000,10,0.7278,253
progdyn,1000,10,0.9374,334
progdyn,1000,10,1.3647,395
progdyn,1000,10,1.3345,449
progdyn,1000,10,1.6827,511
progdyn,1000,10,1.8884,602
progdyn,1000,10,2.3269,662
progdyn,1000,10,2.472,732
progdyn,1000,100,2.1794,911
progdyn,1000,100,4.6604,1582
progdyn,1000,100,6.5911,2176
progdyn,1000,100,8.9626,2875
progdyn,1000,100,12.1241,3445
progdyn,1000,100,13.9368,4069
progdyn,1000,100,15.8483,4519
progdyn,1000,100,18.0319,5344
progdyn,1000,100,23.2647,5844
progdyn,1000,100,25.0832,6482
